Date,dividend,ticker
2006-05-11,0.55,HDFCBANK.NS
2007-05-17,0.7,HDFCBANK.NS
2008-04-29,0.85,HDFCBANK.NS
2009-06-22,1.0,HDFCBANK.NS
2010-06-10,1.2,HDFCBANK.NS
2011-06-02,1.65,HDFCBANK.NS
2012-06-28,2.15,HDFCBANK.NS
2013-06-13,2.75,HDFCBANK.NS
2014-06-05,3.425,HDFCBANK.NS
2015-07-02,4.0,HDFCBANK.NS
2016-06-29,4.75,HDFCBANK.NS
2017-06-29,5.5,HDFCBANK.NS
2018-05-31,6.5,HDFCBANK.NS
2019-06-20,7.5,HDFCBANK.NS
2019-08-01,2.5,HDFCBANK.NS
2021-06-29,6.5,HDFCBANK.NS
2022-05-12,15.5,HDFCBANK.NS
2023-05-16,19.0,HDFCBANK.NS
2003-08-04,1.363636,ICICIBANK.NS
2004-09-02,1.363636,ICICIBANK.NS
2005-08-04,1.545455,ICICIBANK.NS
2006-07-06,1.545455,ICICIBANK.NS
2007-06-14,1.818182,ICICIBANK.NS
2008-07-10,2.0,ICICIBANK.NS
2009-06-11,2.0,ICICIBANK.NS
2010-06-10,2.181818,ICICIBANK.NS
2011-06-02,2.545455,ICICIBANK.NS
2012-05-31,3.0,ICICIBANK.NS
2013-05-30,3.636364,ICICIBANK.NS
2014-06-04,4.181818,ICICIBANK.NS
2014-06-05,4.181818,ICICIBANK.NS
2015-06-04,4.545455,ICICIBANK.NS
2016-06-16,4.545455,ICICIBANK.NS
2017-06-20,2.272727,ICICIBANK.NS
2018-07-24,1.5,ICICIBANK.NS
2018-08-24,1.5,ICICIBANK.NS
2019-07-22,1.0,ICICIBANK.NS
2021-07-29,2.0,ICICIBANK.NS
2022-08-08,5.0,ICICIBANK.NS
2023-08-09,8.0,ICICIBANK.NS
1996-06-03,0.330232,SBIN.NS
1997-06-16,0.377408,SBIN.NS
1998-06-24,0.377408,SBIN.NS
1999-07-05,0.377408,SBIN.NS
2000-04-17,0.23588,SBIN.NS
2000-07-03,0.23588,SBIN.NS
2001-07-02,0.47176,SBIN.NS
2002-07-11,0.566113,SBIN.NS
2003-07-04,0.801993,SBIN.NS
2004-06-25,1.037873,SBIN.NS
2005-06-17,1.179401,SBIN.NS
2006-06-19,1.320929,SBIN.NS
2007-06-13,1.320929,SBIN.NS
