2024-02-21 23:12:03,773 | data_create_log | INFO | Successfully created dataframe for ticker name: RELIANCE.NS
2024-02-21 23:12:03,774 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker RELIANCE.NS
2024-02-21 23:12:03,777 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\RELIANCE.csv
2024-02-21 23:12:04,002 | data_create_log | INFO | Successfully fetched data for ticker name: BHARTIARTL.NS
2024-02-21 23:12:04,004 | data_create_log | INFO | Successfully created dataframe for ticker name: BHARTIARTL.NS
2024-02-21 23:12:04,004 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker BHARTIARTL.NS
2024-02-21 23:12:04,007 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\BHARTIARTL.csv
2024-02-21 23:12:04,133 | data_create_log | INFO | Successfully fetched data for ticker name: ASIANPAINT.NS
2024-02-21 23:12:04,135 | data_create_log | INFO | Successfully created dataframe for ticker name: ASIANPAINT.NS
2024-02-21 23:12:04,135 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker ASIANPAINT.NS
2024-02-21 23:12:04,138 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\ASIANPAINT.csv
2024-02-21 23:12:04,269 | data_create_log | INFO | Successfully fetched data for ticker name: HDFCBANK.NS
2024-02-21 23:12:04,271 | data_create_log | INFO | Successfully created dataframe for ticker name: HDFCBANK.NS
2024-02-21 23:12:04,272 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker HDFCBANK.NS
2024-02-21 23:12:04,275 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\HDFCBANK.csv
2024-02-21 23:12:07,003 | data_create_log | INFO | Successfully fetched data for ticker name: ICICIBANK.NS
2024-02-21 23:12:07,006 | data_create_log | INFO | Successfully created dataframe for ticker name: ICICIBANK.NS
2024-02-21 23:12:07,006 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker ICICIBANK.NS
2024-02-21 23:12:07,050 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\ICICIBANK.json
2024-02-21 23:12:07,180 | data_create_log | INFO | Successfully fetched data for ticker name: SBIN.NS
2024-02-21 23:12:07,182 | data_create_log | INFO | Successfully created dataframe for ticker name: SBIN.NS
2024-02-21 23:12:07,183 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker SBIN.NS
2024-02-21 23:12:07,226 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\SBIN.json
2024-02-21 23:12:07,358 | data_create_log | INFO | Successfully fetched data for ticker name: TCS.NS
2024-02-21 23:12:07,359 | data_create_log | INFO | Successfully created dataframe for ticker name: TCS.NS
2024-02-21 23:12:07,360 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker TCS.NS
2024-02-21 23:12:07,403 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\TCS.json
2024-02-21 23:12:07,523 | data_create_log | INFO | Successfully fetched data for ticker name: MPHASIS.NS
2024-02-21 23:12:07,524 | data_create_log | INFO | Successfully created dataframe for ticker name: MPHASIS.NS
2024-02-21 23:12:07,525 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker MPHASIS.NS
2024-02-21 23:12:07,568 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\MPHASIS.json
2024-02-21 23:12:07,679 | data_create_log | INFO | Successfully fetched data for ticker name: TECHM.NS
2024-02-21 23:12:07,681 | data_create_log | INFO | Successfully created dataframe for ticker name: TECHM.NS
2024-02-21 23:12:07,682 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker TECHM.NS
2024-02-21 23:12:07,724 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\TECHM.json
